candidate_key,entity_type,candidate_name,biblical_references,explicit_textual_description,proposed_proposition,source_status,external_source,external_identifier,review_status,exclusion_reason,review_notes,proposed_mapping_decision,inference_flag,source_key,dataset_key,source_record_key,source_location,subject_kind,subject_key,subject_type,subject_name,subject_description,predicate,object_kind,object_key,object_type,object_name,object_description,object_value_type,object_value,mapping_source_identity_key,mapping_display_name,mapping_justification
P28_GEN_6_10_NOAH_FATHER_SHEM,PERSON,Noah,Genesis 6:10,"Genesis 6:10 states that Noah begot Shem, Ham, and Japheth.",noah fatherOf shem,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse any existing GEN_MT mapping for Noah.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,noah,PERSON,Noah,,fatherOf,ENTITY,shem,PERSON,Shem,A son of Noah named in Genesis 6:10.,,,mt-p28-noah,Noah,Genesis 6:10 explicitly names this source referent.
P28_GEN_6_10_NOAH_FATHER_HAM,PERSON,Noah,Genesis 6:10,"Genesis 6:10 states that Noah begot Shem, Ham, and Japheth.",noah fatherOf ham,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse any existing GEN_MT mapping for Noah.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,noah,PERSON,Noah,,fatherOf,ENTITY,ham,PERSON,Ham,A son of Noah named in Genesis 6:10.,,,,,
P28_GEN_6_10_NOAH_FATHER_JAPHETH,PERSON,Noah,Genesis 6:10,"Genesis 6:10 states that Noah begot Shem, Ham, and Japheth.",noah fatherOf japheth,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse any existing GEN_MT mapping for Noah.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,noah,PERSON,Noah,,fatherOf,ENTITY,japheth,PERSON,Japheth,A son of Noah named in Genesis 6:10.,,,,,
P28_GEN_6_10_NOAH_PARENT_IN_GENEALOGY,PERSON,Noah,Genesis 6:10,Genesis 6:10 records the begetting of the three named sons of Noah.,noah parentIn noah_sons_genealogy,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Noah mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,noah,PERSON,Noah,,parentIn,EVENT,noah_sons_genealogy,GENEALOGICAL,,"Noah fathering Shem, Ham, and Japheth at Genesis 6:10.",,,,,
P28_GEN_6_10_SHEM_CHILD_IN_GENEALOGY,PERSON,Shem,Genesis 6:10,Genesis 6:10 names Shem among the sons begotten by Noah.,shem childIn noah_sons_genealogy,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Shem.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,shem,PERSON,Shem,A son of Noah named in Genesis 6:10.,childIn,EVENT,noah_sons_genealogy,GENEALOGICAL,,"Noah fathering Shem, Ham, and Japheth at Genesis 6:10.",,,mt-p28-shem,Shem,Genesis 6:10 explicitly names this source referent.
P28_GEN_6_10_HAM_CHILD_IN_GENEALOGY,PERSON,Ham,Genesis 6:10,Genesis 6:10 names Ham among the sons begotten by Noah.,ham childIn noah_sons_genealogy,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Ham.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,ham,PERSON,Ham,A son of Noah named in Genesis 6:10.,childIn,EVENT,noah_sons_genealogy,GENEALOGICAL,,"Noah fathering Shem, Ham, and Japheth at Genesis 6:10.",,,mt-p28-ham,Ham,Genesis 6:10 explicitly names this source referent.
P28_GEN_6_10_JAPHETH_CHILD_IN_GENEALOGY,PERSON,Japheth,Genesis 6:10,Genesis 6:10 names Japheth among the sons begotten by Noah.,japheth childIn noah_sons_genealogy,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Japheth.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_10,Genesis 6:10,ENTITY,japheth,PERSON,Japheth,A son of Noah named in Genesis 6:10.,childIn,EVENT,noah_sons_genealogy,GENEALOGICAL,,"Noah fathering Shem, Ham, and Japheth at Genesis 6:10.",,,mt-p28-japheth,Japheth,Genesis 6:10 explicitly names this source referent.
P28_GEN_6_14_ARK_MADE_OF_GOPHER_WOOD,OBJECT,Noah's Ark,Genesis 6:14,Genesis 6:14 records the instruction to make the ark of gopher wood.,noahs_ark madeOfMaterial gopher wood,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse any existing GEN_MT mapping for the ark.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_6_14,Genesis 6:14,ENTITY,noahs_ark,OBJECT,Noah's Ark,The persistent object named in the Genesis flood narrative.,madeOfMaterial,VALUE,,,,,TEXT,gopher wood,mt-p28-noahs-ark,ark,Genesis 6:14 explicitly names this source referent.
P28_GEN_4_16_CAIN_LOCATED_AT_NOD,PERSON,Cain,Genesis 4:16,Genesis 4:16 states that Cain dwelt in the land of Nod.,cain locatedAt nod,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Cain.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_4_16,Genesis 4:16,ENTITY,cain,PERSON,Cain,The person named in Genesis 4.,locatedAt,ENTITY,nod,PLACE,Nod,The named Genesis location; no modern identification is asserted.,,,mt-p28-cain,Cain,Genesis 4:16 explicitly names this source referent.
P28_GEN_11_9_BABEL_CONSTRUCTION_AT_BABEL,PLACE,Babel,Genesis 11:9,Genesis 11:9 names the city Babel in the account of the city and tower construction.,babel_construction occursAt babel,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Babel.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_11_9,Genesis 11:9,EVENT,babel_construction,CONSTRUCTION,,The city construction described at Genesis 11:4-9.,occursAt,ENTITY,babel,PLACE,Babel,The named Genesis city; no modern identification is asserted.,,,mt-p28-babel,Babel,Genesis 11:9 explicitly names this source referent.
P28_GEN_11_26_TERAH_FATHER_ABRAHAM,PERSON,Terah,Genesis 11:26,"Genesis 11:26 states that Terah begot Abram, Nahor, and Haran.",terah fatherOf abraham,EXPLICIT_IN_SELECTED_CORPUS,Theographic candidate index,theographic-person-abraham,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Terah. The external identifier stays discovery metadata.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_11_26,Genesis 11:26,ENTITY,terah,PERSON,Terah,The person named in Genesis 11:26.,fatherOf,ENTITY,abraham,PERSON,Abraham,The Genesis person called Abram before Genesis 17:5.,,,mt-p28-terah,Terah,Genesis 11:26 explicitly names this source referent.
P28_GEN_12_5_ABRAHAM_SUBJECT_CANAAN_JOURNEY,PERSON,Abraham,Genesis 12:5,Genesis 12:5 records Abram going out to go into the land of Canaan.,abraham subjectOf abraham_canaan_journey,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Abraham using the source naming Abram.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_12_5,Genesis 12:5,ENTITY,abraham,PERSON,Abraham,The Genesis person called Abram before Genesis 17:5.,subjectOf,EVENT,abraham_canaan_journey,OTHER,,The journey into Canaan described at Genesis 12:5.,,,mt-p28-abraham,Abram,Genesis 12:5 explicitly names this source referent.
P28_GEN_12_5_CANAAN_JOURNEY_AT_CANAAN,PLACE,Canaan,Genesis 12:5,Genesis 12:5 names the land of Canaan as the destination of the recorded journey.,abraham_canaan_journey occursAt canaan,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Canaan.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_12_5,Genesis 12:5,EVENT,abraham_canaan_journey,OTHER,,The journey into Canaan described at Genesis 12:5.,occursAt,ENTITY,canaan,PLACE,Canaan,The named Genesis location; no modern boundary is asserted.,,,mt-p28-canaan,Canaan,Genesis 12:5 explicitly names this source referent.
P28_GEN_12_5_SARAH_IN_CANAAN_JOURNEY,PERSON,Sarah,Genesis 12:5,Genesis 12:5 names Sarai among those who went with Abram toward Canaan.,sarah participatesIn abraham_canaan_journey,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Sarah using the source naming Sarai.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_12_5,Genesis 12:5,ENTITY,sarah,PERSON,Sarah,The Genesis person called Sarai before Genesis 17:15.,participatesIn,EVENT,abraham_canaan_journey,OTHER,,The journey into Canaan described at Genesis 12:5.,,,mt-p28-sarah,Sarai,Genesis 12:5 explicitly names this source referent.
P28_GEN_21_2_ABRAHAM_FATHER_ISAAC,PERSON,Abraham,Genesis 21:2,Genesis 21:2 states that Sarah bore Abraham a son and that he was named Isaac.,abraham fatherOf isaac,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Abraham mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_21_2,Genesis 21:2,ENTITY,abraham,PERSON,Abraham,,fatherOf,ENTITY,isaac,PERSON,Isaac,The person named in Genesis 21:2.,,,,,
P28_GEN_21_2_SARAH_MOTHER_ISAAC,PERSON,Sarah,Genesis 21:2,Genesis 21:2 states that Sarah bore the son named Isaac.,sarah motherOf isaac,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Sarah mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_21_2,Genesis 21:2,ENTITY,sarah,PERSON,Sarah,,motherOf,ENTITY,isaac,PERSON,Isaac,The person named in Genesis 21:2.,,,,,
P28_GEN_21_2_ISAAC_CHILD_IN_BIRTH,PERSON,Isaac,Genesis 21:2,Genesis 21:2 records the birth of Isaac.,isaac childIn isaac_birth,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Isaac.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_21_2,Genesis 21:2,ENTITY,isaac,PERSON,Isaac,The person named in Genesis 21:2.,childIn,EVENT,isaac_birth,BIRTH,,The birth of Isaac recorded at Genesis 21:2.,,,mt-p28-isaac,Isaac,Genesis 21:2 explicitly names this source referent.
P28_GEN_21_2_ABRAHAM_PARENT_IN_BIRTH,PERSON,Abraham,Genesis 21:2,Genesis 21:2 records Abraham as the father in the recorded birth.,abraham parentIn isaac_birth,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Abraham mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_21_2,Genesis 21:2,ENTITY,abraham,PERSON,Abraham,,parentIn,EVENT,isaac_birth,BIRTH,,The birth of Isaac recorded at Genesis 21:2.,,,,,
P28_GEN_23_1_SARAH_AGE_AT_DEATH_127,PERSON,Sarah,Genesis 23:1,Genesis 23:1 states that the life of Sarah was 127 years and Genesis 23:2 states that she died.,sarah ageAtDeathYears 127,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Sarah mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_23_1,Genesis 23:1,ENTITY,sarah,PERSON,Sarah,,ageAtDeathYears,VALUE,,,,,YEAR,127,,,
P28_GEN_23_2_SARAH_SUBJECT_DEATH,PERSON,Sarah,Genesis 23:2,Genesis 23:2 states that Sarah died in Kiriath-arba which is Hebron.,sarah subjectOf sarah_death,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Sarah mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_23_2,Genesis 23:2,ENTITY,sarah,PERSON,Sarah,,subjectOf,EVENT,sarah_death,DEATH,,The death of Sarah recorded at Genesis 23:2.,,,,,
P28_GEN_23_2_SARAH_DEATH_AT_HEBRON,PLACE,Hebron,Genesis 23:2,Genesis 23:2 names Hebron as the place of the recorded death.,sarah_death occursAt hebron,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Hebron.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_23_2,Genesis 23:2,EVENT,sarah_death,DEATH,,The death of Sarah recorded at Genesis 23:2.,occursAt,ENTITY,hebron,PLACE,Hebron,The named Genesis location; no modern identification is asserted.,,,mt-p28-hebron,Hebron,Genesis 23:2 explicitly names this source referent.
P28_GEN_25_26_ISAAC_FATHER_JACOB,PERSON,Isaac,Genesis 25:26,Genesis 25:26 names Jacob among the sons born to Isaac.,isaac fatherOf jacob,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Isaac mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_25_26,Genesis 25:26,ENTITY,isaac,PERSON,Isaac,,fatherOf,ENTITY,jacob,PERSON,Jacob,The person named in Genesis 25:26.,,,,,
P28_GEN_25_26_JACOB_CHILD_IN_BIRTH,PERSON,Jacob,Genesis 25:26,Genesis 25:26 records the birth of Jacob.,jacob childIn jacob_birth,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Jacob.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_25_26,Genesis 25:26,ENTITY,jacob,PERSON,Jacob,The person named in Genesis 25:26.,childIn,EVENT,jacob_birth,BIRTH,,The birth of Jacob recorded at Genesis 25:26.,,,mt-p28-jacob,Jacob,Genesis 25:26 explicitly names this source referent.
P28_GEN_35_28_ISAAC_AGE_AT_DEATH_180,PERSON,Isaac,Genesis 35:28-29,Genesis 35:28 states that the days of Isaac were 180 years and Genesis 35:29 states that he died.,isaac ageAtDeathYears 180,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Isaac mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_35_28,Genesis 35:28,ENTITY,isaac,PERSON,Isaac,,ageAtDeathYears,VALUE,,,,,YEAR,180,,,
P28_GEN_47_28_JACOB_AGE_AT_DEATH_147,PERSON,Jacob,Genesis 47:28; Genesis 49:33,Genesis 47:28 states that the years of the life of Jacob were 147 and Genesis 49:33 states that he died.,jacob ageAtDeathYears 147,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Jacob mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_47_28,Genesis 47:28,ENTITY,jacob,PERSON,Jacob,,ageAtDeathYears,VALUE,,,,,YEAR,147,,,
P28_GEN_30_24_JACOB_FATHER_JOSEPH,PERSON,Jacob,Genesis 30:24,Genesis 30:23-24 records the bearing and naming of Joseph in the household of Jacob.,jacob fatherOf joseph,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Jacob mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_30_24,Genesis 30:24,ENTITY,jacob,PERSON,Jacob,,fatherOf,ENTITY,joseph,PERSON,Joseph,The son of Jacob named in Genesis.,,,,,
P28_GEN_30_24_RACHEL_MOTHER_JOSEPH,PERSON,Rachel,Genesis 30:24,Genesis 30:23-24 states that Rachel bore a son and called his name Joseph.,rachel motherOf joseph,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Rachel.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_30_24,Genesis 30:24,ENTITY,rachel,PERSON,Rachel,The person named in Genesis 29.,motherOf,ENTITY,joseph,PERSON,Joseph,The son of Jacob named in Genesis.,,,mt-p28-rachel,Rachel,Genesis 30:24 explicitly names this source referent.
P28_GEN_30_24_JOSEPH_CHILD_IN_BIRTH,PERSON,Joseph,Genesis 30:24,Genesis 30:23-24 records the birth of Joseph.,joseph childIn joseph_birth,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Joseph.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_30_24,Genesis 30:24,ENTITY,joseph,PERSON,Joseph,The son of Jacob named in Genesis.,childIn,EVENT,joseph_birth,BIRTH,,The birth of Joseph recorded at Genesis 30:24.,,,mt-p28-joseph,Joseph,Genesis 30:24 explicitly names this source referent.
P28_GEN_39_20_JOSEPH_SUBJECT_IMPRISONMENT,PERSON,Joseph,Genesis 39:20,Genesis 39:20 states that Joseph was put into the prison.,joseph subjectOf joseph_imprisonment,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Joseph mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_39_20,Genesis 39:20,ENTITY,joseph,PERSON,Joseph,,subjectOf,EVENT,joseph_imprisonment,OTHER,,Joseph being put in prison at Genesis 39:20.,,,,,
P28_GEN_39_20_IMPRISONMENT_AT_EGYPT,PLACE,Egypt,Genesis 39:20,Genesis 39 locates the recorded imprisonment in Egypt.,joseph_imprisonment occursAt egypt,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Egypt.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_39_20,Genesis 39:20,EVENT,joseph_imprisonment,OTHER,,Joseph being put in prison at Genesis 39:20.,occursAt,ENTITY,egypt,PLACE,Egypt,The named Genesis location; no modern boundary is asserted.,,,mt-p28-egypt,Egypt,Genesis 39:20 explicitly names this source referent.
P28_GEN_50_26_JOSEPH_SUBJECT_DEATH,PERSON,Joseph,Genesis 50:26,Genesis 50:26 states that Joseph died.,joseph subjectOf joseph_death,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Joseph mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_50_26,Genesis 50:26,ENTITY,joseph,PERSON,Joseph,,subjectOf,EVENT,joseph_death,DEATH,,The death of Joseph recorded at Genesis 50:26.,,,,,
P28_GEN_50_26_JOSEPH_AGE_AT_DEATH_110,PERSON,Joseph,Genesis 50:26,Genesis 50:26 states that Joseph died being 110 years old.,joseph ageAtDeathYears 110,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Joseph mapping.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_50_26,Genesis 50:26,ENTITY,joseph,PERSON,Joseph,,ageAtDeathYears,VALUE,,,,,YEAR,110,,,
P28_GEN_32_28_ISRAEL_RENAME,CONCEPT,Jacob renamed Israel,Genesis 32:28,Genesis 32:28 records that the name would no longer be said Jacob but Israel.,rename relation between Jacob and Israel,EXPLICIT_IN_SELECTED_CORPUS,,,REQUIRES_REVIEW,,No registered predicate represents naming or renaming without manufacturing identity semantics. The observation stays cited evidence.,No entity and no mapping pending registry review.,IDENTITY_INFERENCE,GEN_MT,GEN_MT_REF,MT_GEN_32_28,Genesis 32:28,,,,,,,,,,,,,,,,
P28_GEN_17_5_ABRAM_SARAI_NAMES,CONCEPT,Abram and Sarai name changes,Genesis 17:5; Genesis 17:15,Genesis 17:5 and Genesis 17:15 record new names for Abram and Sarai.,name-change propositions,EXPLICIT_IN_SELECTED_CORPUS,,,REQUIRES_REVIEW,,"Canonical labels use Abraham and Sarah for usability, while source identity display names preserve the source naming. No name-change predicate exists.",No separate canonical entities and no identity claim.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_17_5,Genesis 17:5,,,,,,,,,,,,,,,,
P28_GEN_40_41_DREAM_CONTENT,CONCEPT,Dream content and interpretation semantics,Genesis 40:5; Genesis 41:1,"Genesis records distinct dreams and narrative details for the cupbearer, the baker, and Pharaoh.",structured dream symbols and interpretation relations,EXPLICIT_IN_SELECTED_CORPUS,,,REQUIRES_REVIEW,,Dream occurrences and explicit participants are representable; detailed symbols and interpretation semantics are not. Not modeled is not source silence.,No mapping pending registry review.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_40_5,Genesis 40:5,,,,,,,,,,,,,,,,
P28_GEN_34_DINAH_NARRATIVE,PERSON,Dinah and the Genesis 34 narrative,Genesis 34:1-31,"Genesis 34 explicitly names Dinah, Shechem son of Hamor, Hamor, Simeon, and Levi and describes multiple events.",entities and participants in Genesis 34 events,EXPLICIT_IN_SELECTED_CORPUS,,,REQUIRES_REVIEW,,Deliberately deferred for careful source-by-source encoding. Deferral is a Berean representation status and not an absence in the source.,Ingest only explicit roles in a later bounded pass.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_34_1,Genesis 34:1,,,,,,,,,,,,,,,,
