candidate_key,entity_type,candidate_name,biblical_references,explicit_textual_description,proposed_proposition,source_status,external_source,external_identifier,review_status,coverage_classification,obstacle_classification,exclusion_reason,review_notes,proposed_mapping_decision,disposition
P27_EGYPT,PLACE,Egypt,Genesis 39:20; Genesis 42:6; Genesis 43:15; Genesis 46:6,"Genesis explicitly locates selected Joseph and Jacob-household events in Egypt.",selected events occursAt egypt,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"No modern boundary or route is asserted.",Create PLACE and evidence-backed GEN_MT mapping.,INGESTED
P27_ISRAEL_RENAME,CONCEPT,Jacob renamed Israel,Genesis 32:28,"Genesis 32:28 records that the name Jacob would no longer be said but Israel.","rename relation between Jacob and Israel",EXPLICIT_IN_SELECTED_CORPUS,,,CANDIDATE_REQUIRES_REVIEW,CANDIDATE_REQUIRES_REVIEW,REGISTRY_EXPRESSIVENESS,,"No registered predicate represents naming or renaming without manufacturing identity semantics. The observation remains cited Evidence.",No entity or claim pending registry review.,EVIDENCE_ONLY
P27_DREAM_CONTENT,CONCEPT,Dream content,Genesis 40:5; Genesis 41:1,"Genesis records distinct dreams and narrative details for the cupbearer, baker, and Pharaoh.","structured dream symbols and interpretation relations",EXPLICIT_IN_SELECTED_CORPUS,,,NOT_YET_MODELED,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"The dream occurrences and explicit participants are modeled; detailed symbols and interpretation semantics are not.",Keep detailed content in evidence; do not add predicates for coverage.,PARTIALLY_REPRESENTED
P27_ABRAM_SARAI_NAMES,CONCEPT,Abram and Sarai name changes,Genesis 17:5; Genesis 17:15,"Genesis records new names for Abram and Sarai.","name-change propositions",EXPLICIT_IN_SELECTED_CORPUS,,,CANDIDATE_REQUIRES_REVIEW,CANDIDATE_REQUIRES_REVIEW,REGISTRY_EXPRESSIVENESS,,"Canonical labels use Abraham and Sarah for usability, while descriptions preserve the source naming boundary. No name-change predicate exists.",No separate canonical entities and no identity claim.,CANDIDATE_ONLY
P27_JOSEPH_SALE_CAUSATION,CONCEPT,Causation from Joseph's sale to later events,Genesis 37:28; Genesis 45:5-8,"Genesis contains narrative statements relating Joseph's presence in Egypt to later preservation.","joseph_sale causes later preservation",EXPLICIT_IN_SELECTED_CORPUS,,,EXCLUDED,EXCLUDED,REGISTRY_EXPRESSIVENESS,Causation and theological interpretation are outside the Phase 27 import boundary.,"The sale occurrence is represented without a causal edge.",No claim.,CANDIDATE_ONLY
P27_MODERN_LOCATIONS,PLACE,Modern equivalents of Genesis places,,"The selected Genesis source records do not provide modern coordinates or identifiers.","Genesis place sameAs modern place",OUTSIDE_SELECTED_CORPUS,,,EXCLUDED,EXCLUDED,SCHEMA,Modern geographic identity is prohibited and outside the declared source boundary.,"Absence is not a claim that no identification exists.",No mapping.,CANDIDATE_ONLY
P27_DINAH_EVENT,PERSON,Dinah and the Genesis 34 narrative,Genesis 34:1-31,"Genesis 34 explicitly names Dinah, Shechem son of Hamor, Hamor, Simeon, and Levi and describes multiple events.","entities and participants in Genesis 34 events",EXPLICIT_IN_SELECTED_CORPUS,,,NOT_YET_MODELED,NOT_YET_MODELED,DATA_ENTRY,,"Deferred for careful source-by-source encoding; not omitted as source silence.",Review and ingest only explicit roles in a later bounded pass.,DEFERRED
P27_JOSEPH_GARMENT,OBJECT,Joseph's garment,Genesis 37:3; Genesis 37:23; Genesis 37:31-33,"Genesis explicitly mentions Joseph's garment in several events.","garment participatesIn selected events",EXPLICIT_IN_SELECTED_CORPUS,,,NOT_YET_MODELED,NOT_YET_MODELED,DATA_ENTRY,,"The object is representable but deferred to keep this pass reviewable.",Create only after a bounded object review.,DEFERRED
P27_WELLS,OBJECT,Named and unnamed wells,Genesis 21:25-31; Genesis 26:15-33,"Genesis explicitly describes multiple wells and selected names.","well entities and construction/conflict events",EXPLICIT_IN_SELECTED_CORPUS,,,NOT_YET_MODELED,NOT_YET_MODELED,DATA_ENTRY,,"Representable but requires careful identity separation across passages.",Ingest in a dedicated object slice without merging same-named referents.,DEFERRED
P27_GENESIS_CHRONOLOGY,CONCEPT,Calculated Genesis chronology,Genesis 5; Genesis 11,"Genealogical ages can be inputs to mechanical calculations.","derived yearsFromCreation chronology",EXPLICIT_IN_SELECTED_CORPUS,,,EXCLUDED,EXCLUDED,INGESTION,Phase 27 adds no derivation because no new result is required for corpus exploration.,"The three accepted derivations remain unchanged; no chronology is presented as direct source observation.",No new derivation.,CANDIDATE_ONLY
