candidate_key,candidate_category,candidate_name,discovery_source_references,verification_source_references,verification_status,proposition_or_relationship_candidate,selection_status,rationale,architecture_mapping
P37R_TECH_HIGH_FREQUENCY,TECHNOLOGY,High-frequency electrical apparatus,BARRETT_ELECTRICITY_COLUMBIAN_1894,"BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,participatesIn Tesla personal electrical exhibit,SELECTED,"Contemporary electrical sources locate the apparatus within Tesla's exhibit.",OBJECT plus source-backed participatesIn
P37R_TECH_INCANDESCENT,TECHNOLOGY,Incandescent electric lamps,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",BARRETT_ELECTRICITY_COLUMBIAN_1894,VERIFIED_CONTEMPORARY,participatesIn General Electric exhibit,SELECTED,"Contemporary technical account identifies this apparatus in the company exhibit.",OBJECT plus source-backed participatesIn
P37R_TECH_TELEPHONE,TECHNOLOGY,Telephone apparatus,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",BARRETT_ELECTRICITY_COLUMBIAN_1894,VERIFIED_CONTEMPORARY,participatesIn Western Electric exhibit,SELECTED,"Contemporary technical account identifies this apparatus in the company exhibit.",OBJECT plus source-backed participatesIn
P37R_TECH_AC_DC_CONFLICT,TECHNOLOGY,AC/DC conflict narrative,"WORLDS_FAIR_CHICAGO_1893_PEOPLE; BADGER_1979_GREAT_AMERICAN_FAIR",,INTERPRETIVE_NOT_PROPOSITION,alternating current won or was superior,EXCLUDED,"A victory or superiority conclusion is not established by the represented graph.",Explicit NOT_REPRESENTED boundary
P37R_TECH_FERRIS_WHEEL,TECHNOLOGY,Ferris Wheel,WORLDS_FAIR_CHICAGO_1893_PEOPLE,,OUTSIDE_BOUNDED_CORPUS,participatesIn Midway attraction,EXCLUDED,"Outside the bounded electrical-building corpus.",Documented exclusion
P37R_REL_TESLA_EXHIBIT,RELATIONSHIP,Nikola Tesla to Tesla exhibit,BARRETT_ELECTRICITY_COLUMBIAN_1894,"BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,Nikola Tesla participatesIn Tesla personal electrical exhibit,SELECTED,"Direct source-backed exhibit participation.",Registered participatesIn predicate
P37R_REL_WESTINGHOUSE_EXHIBIT,RELATIONSHIP,George Westinghouse to Westinghouse exhibit,BARRETT_ELECTRICITY_COLUMBIAN_1894,BARRETT_ELECTRICITY_COLUMBIAN_1894,REQUIRES_PAGE_VERIFICATION,George Westinghouse participatesIn Westinghouse electrical exhibit,EXCLUDED,"The organization exhibit is verified; the person's separate participation remains unresolved.",Documented verification gap
P37R_REL_WESTINGHOUSE_ORG_EXHIBIT,RELATIONSHIP,Westinghouse company to exhibit,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,Westinghouse Electric and Manufacturing Company participatesIn Westinghouse electrical exhibit,SELECTED,"Direct source-backed organizational exhibit participation.",Registered participatesIn predicate
P37R_REL_GE_ORG_EXHIBIT,RELATIONSHIP,General Electric Company to exhibit,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,General Electric Company participatesIn General Electric exhibit,SELECTED,"Direct source-backed organizational exhibit participation.",Registered participatesIn predicate
P37R_REL_WE_ORG_EXHIBIT,RELATIONSHIP,Western Electric Company to exhibit,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,Western Electric Company participatesIn Western Electric exhibit,SELECTED,"Direct source-backed organizational exhibit participation.",Registered participatesIn predicate
P37R_REL_PERSON_ORGANIZATION,RELATIONSHIP,Person to employing organization,"WORLDS_FAIR_CHICAGO_1893_PEOPLE; BARRETT_ELECTRICITY_COLUMBIAN_1894",,ARCHITECTURE_NOT_REPRESENTED,person memberOf organization,EXCLUDED,"No registered person-to-organization predicate exists; shared exhibit participation must not be promoted to employment or membership.",Precise registry expressiveness result
P37R_REL_EXHIBIT_LOCATION,RELATIONSHIP,Selected electrical exhibits to Electricity Building,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,each selected exhibit occursAt Electricity Building,SELECTED,"Official and contemporary technical sources establish the exhibit location.",Registered occursAt predicate
P37R_REL_EXHIBIT_TECHNOLOGY,RELATIONSHIP,Selected exhibits to represented electrical technologies,"BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893","BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,technology participatesIn exhibit,SELECTED,"Existing event-participation semantics preserve the source-backed exhibit context.",Registered participatesIn predicate
P37R_REL_HISTORICAL_CAUSATION,RELATIONSHIP,Electrical exhibits caused later electrical adoption,"BADGER_1979_GREAT_AMERICAN_FAIR; RYDELL_1984_ALL_THE_WORLDS_A_FAIR",,INTERPRETIVE_NOT_PROPOSITION,exhibit caused technological adoption,EXCLUDED,"Causal historical conclusion is not represented by a registered predicate or direct source claim.",Explicit NOT_REPRESENTED boundary
