candidate_key,entity_type,candidate_name,biblical_references,explicit_textual_description,proposed_proposition,source_status,external_source,external_identifier,review_status,exclusion_reason,review_notes,proposed_mapping_decision
CAND_DAGON,,Dagon,1 Samuel 5:2,1 Samuel 5:2 states that the Philistines brought the ark into the house of Dagon and set it beside Dagon.,ark_placement_house_dagon_1sam5 occursAt house_of_dagon_ashdod,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,CANDIDATE_REQUIRES_REVIEW,,"The named referent Dagon has no non-interpretive entity_type in the current controlled vocabulary; only the explicitly named house of Dagon is modeled, as a PLACE.",Defer entity creation for Dagon; ingest only house_of_dagon_ashdod as PLACE.
CAND_HOUSE_OF_DAGON,PLACE,house of Dagon,1 Samuel 5:2,1 Samuel 5:2 states that the ark was brought into the house of Dagon in Ashdod.,ark_placement_house_dagon_1sam5 occursAt house_of_dagon_ashdod,EXPLICIT_IN_SELECTED_CORPUS,theographic-places (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Modeled as the explicitly named location only. No religious interpretation is asserted, and 1 Samuel 5:3-4 is NOT_YET_MODELED.",Create entity house_of_dagon_ashdod and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_KIRIATH_JEARIM,PLACE,Kiriath-jearim,1 Samuel 7:1; 1 Samuel 7:2,"1 Samuel 7:1 states that the men of Kiriath-jearim came and took up the ark and brought it to the house of Abinadab. 1 Samuel 7:2 states that the ark remained at Kiriath-jearim.",ark_relocation_kiriath_jearim_1sam7 occursAt kiriath_jearim,EXPLICIT_IN_SELECTED_CORPUS,theographic-places (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"No coordinates, modern identification, or duration semantics are asserted.",Create entity kiriath_jearim and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_ABINADAB,PERSON,Abinadab,1 Samuel 7:1,1 Samuel 7:1 states that the ark was brought to the house of Abinadab on the hill.,abinadab participatesIn ark_relocation_kiriath_jearim_1sam7,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Not reconciled with any other person named Abinadab elsewhere in Scripture; identity reconciliation is not performed.",Create entity abinadab and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_ELEAZAR_SON_OF_ABINADAB,PERSON,Eleazar son of Abinadab,1 Samuel 7:1,1 Samuel 7:1 states that Abinadab's son Eleazar was consecrated to keep the ark of the LORD.,abinadab fatherOf eleazar_son_of_abinadab; eleazar_son_of_abinadab participatesIn ark_relocation_kiriath_jearim_1sam7,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Consecration and keeping are retained as cited source observations; no consecration event type or custodial predicate is added to the registry.",Create entity eleazar_son_of_abinadab and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_ENOCH_365_YEARS,CONCEPT,365 years of Enoch,Genesis 5:23,Genesis 5:23 states that all the days of Enoch were 365 years.,no registered predicate expresses total recorded days without asserting age at death,EXPLICIT_IN_SELECTED_CORPUS,,,CANDIDATE_REQUIRES_REVIEW,,"Registry insufficiency. The only available lifespan predicate is ageAtDeathYears, and using it would assert a death Genesis 5:24 does not state. The numeral is retained in cited Evidence only.",Do not model until a reviewer decides whether a neutral totalRecordedYears predicate is warranted.
CAND_ARK_KIRIATH_JEARIM_20_YEARS,CONCEPT,twenty years at Kiriath-jearim,1 Samuel 7:2,1 Samuel 7:2 states that the ark remained at Kiriath-jearim a long time; some twenty years.,no registered predicate expresses an event duration or a stateful residence interval,EXPLICIT_IN_SELECTED_CORPUS,,,CANDIDATE_REQUIRES_REVIEW,,"Registry insufficiency. yearsFromCreation is a chronological position, not a duration. The numeral is retained in cited Evidence only.",Do not model until a reviewer decides whether a duration predicate is warranted.
CAND_AHIO,PERSON,Ahio,2 Samuel 6:3,2 Samuel 6:3 names Ahio alongside Uzzah in relation to the new cart.,ahio participatesIn ark_covenant_transport_new_cart_2sam6,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,CANDIDATE_REQUIRES_REVIEW,,"Explicit in the corpus but deliberately outside the accepted Phase 19 slice boundary. Left as a candidate rather than silently widening an accepted phase.",Defer to a reviewer-approved extension of the accepted 2 Samuel 6 slice.
CAND_ENOCH_CAIN_LINE,PERSON,Enoch son of Cain,Genesis 4:17,"Genesis 4:17 names an Enoch who is the son of Cain, and a city named Enoch.",identity relation between the Genesis 4:17 Enoch and the Genesis 5:18 Enoch,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,EXCLUDED,Asserting identity or non-identity between two similarly named persons is an identity inference and is prohibited by the Phase 26 tier policy.,"Recorded so that absence is visible. Neither entity is merged, split, or declared distinct by Berean.",No mapping. Revisit only with explicit human reconciliation justification.
CAND_ENOCH_TRANSLATION,CONCEPT,Enoch did not die / was translated,Genesis 5:24,Genesis 5:24 states that Enoch walked with God and was not; for God took him.,enoch subjectOf a translation or non-death event,EXPLICIT_IN_SELECTED_CORPUS,,,EXCLUDED,"Reading ""was not, for God took him"" as a translation, non-death, or ascension event is theological interpretation, not an explicit textual statement.","The wording is retained verbatim-free as a cited source observation. Berean stores that the source records the statement, not what it means.",No claim. Evidence only.
CAND_ENOCH_BOOK_AUTHORSHIP,CONCEPT,Enoch as author of 1 Enoch,,"No text inside the Phase 26 source boundary states that this Enoch authored any book.",enoch authorOf book_of_enoch,OUTSIDE_SELECTED_CORPUS,traditional and pseudepigraphal literature,not used as authoritative,EXCLUDED,Non-biblical traditional material outside the declared source boundary.,"Recorded to make the exclusion inspectable. Absence here is not a claim that the tradition does not exist.",No entity. No claim. No mapping.
CAND_ENOCH_EXTERNAL_CHRONOLOGY,CONCEPT,External chronological dating for Enoch,,"External datasets attach absolute or relative dates to Enoch; the biblical text inside the boundary states no such dates.",enoch or methuselah_begetting dated to an absolute year,OUTSIDE_SELECTED_CORPUS,external chronology datasets,not used as authoritative,EXCLUDED,Chronology inference is prohibited by the Phase 26 tier policy and no date may be fabricated.,"Events therefore report DATE_NOT_STORED rather than a manufactured date.",No typed value. No claim.
CAND_ENOCH_EXTERNAL_ID,CONCEPT,External identifier for Enoch,Genesis 5:18,"An external discovery aid assigns Enoch a dataset-specific identifier.",entity enoch carries an external identifier as an attribute,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),dataset-specific person identifier,CANDIDATE_REQUIRES_REVIEW,,"External identifiers are discovery aids. They are not stored as canonical entity attributes, and no SourceIdentity is created for a source Berean has not acquired.",Retain in this worksheet only.
